CourseTitle,Section,CrsPBADiv,CrsLvlNum,PCT,NComb,CrsPBADept,Instructors,Hours,RAP,Subject_Label,Workload,CrsPBAColl,Level,NIntrFCQ,AvgInstructor,N,Instruction_Mode,AVG_GRD,Course,AvgCourse,YearTerm,Subject,Honors,Activity_Type
Introduction to the Bible,888,SS,2XXX,"{u'A': 0.82, u'C': 0, u'B': 0.18, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'3 Supp', u'name': u'STREIT, JUDITH ANN', u'title': u'LECTURER'}]",3,0,Honors,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Lower,,,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 17}",P  - In Person,3.84,2251,,20137,HONR,1,SEM - Seminar
Open Topics,888,SS,2XXX,"{u'A': 0.88, u'C': 0, u'B': 0.13, u'WDRAW': 0.06, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'2 Other reg', u'name': u'STROM, PAUL', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Honors,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Lower,,,"{u'ENROLL': 17, u'GRADE': 16, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 16}",P  - In Person,3.76,2500,,20137,HONR,1,LEC - Lecture
Leadership Practicum: Kittredge Honors Program Flock Leaders,888,SS,2XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'1 TTT', u'name': u'GERLAND, OLIVER W', u'title': u'ASSOCIATE PROFESSOR'}]",1,0,Honors,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Lower,,,"{u'ENROLL': 21, u'GRADE': 21, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 21}",P  - In Person,4,2610,,20137,HONR,1,LEC - Lecture
Advanced Honors Writing Workshop,880,SS,3XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'2 Other reg', u'name': u'NORGAARD, ROLF P', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Honors,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.19'}",AS,Upper,1,5.94,"{u'ENROLL': 16, u'GRADE': 16, u'PASS': 0, u'INCOMP': 0, u'Ret': 16, u'NOCRED': 0, u'EOT': 16}",HN - Honors Thesis Courses,3.98,3220,5.44,20137,HONR,1,SEM - Seminar
Open Topics,888,SS,3XXX,"{u'A': 0.6, u'C': 0, u'B': 0.4, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'1 TTT', u'name': u'ELLINGSON, ERICA', u'title': u'ASSOCIATE PROFESSOR'}]",1,0,Honors,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Upper,,,"{u'ENROLL': 15, u'GRADE': 15, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 15}",P  - In Person,3.54,3550,,20137,HONR,1,SEM - Seminar
Open Topics,889,SS,3XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HONR,"[{u'group': u'3 Supp', u'name': u'LESTER, ALAN P', u'title': u'LECTURER'}]",1,0,Honors,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Upper,,,"{u'ENROLL': 15, u'GRADE': 15, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 15}",P  - In Person,4,3550,,20137,HONR,1,SEM - Seminar
Introduction to Humanities 1,100,AH,1XXX,"{u'A': 0.35, u'C': 0.21, u'B': 0.36, u'WDRAW': 0.04, u'D': 0.05, u'F': 0.03, u'DF': 0.08, u'INCOMP': 0.01, u'GRADE': 0.99, u'C_MINUS_OR_BELOW': 0.11}",3,HUMN,"[{u'group': u'2 Other reg', u'name': u'BERNARDINI, GIULIA', u'title': u'INSTRUCTOR'}, {u'group': u'3 Supp', u'name': u'EDDY, MARJORIE ALEXANDRA', u'title': u'LECTURER'}, {u'group': u'3 Supp', u'name': u'WIESE, ANNJEANETTE MICHELLE', u'title': u'LECTURER'}]",6,0,Humanities,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.03'}",AS,Lower,6,4.81,"{u'ENROLL': 140, u'GRADE': 133, u'PASS': 0, u'INCOMP': 1, u'Ret': 74, u'NOCRED': 0, u'EOT': 134}",P  - In Person,2.9,1010,4.24,20137,HUMN,0,LEC - Lecture
Methods and Approaches to the Humanities,001,AH,2XXX,"{u'A': 0.79, u'C': 0.08, u'B': 0.13, u'WDRAW': 0.08, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HUMN,"[{u'group': u'4 TA Cred', u'name': u'GILBERT, ANDREW L', u'title': u'GRAD PART-TIME INSTRUCTOR'}, {u'group': u'3 Supp', u'name': u'ABIRAGI, ANTHONY A.', u'title': u'LECTURER'}, {u'group': u'1 TTT', u'name': u'FERRIS, DAVID S', u'title': u'PROFESSOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.18'}",AS,Lower,4,5.08,"{u'ENROLL': 26, u'GRADE': 24, u'PASS': 0, u'INCOMP': 0, u'Ret': 24, u'NOCRED': 0, u'EOT': 24}",P  - In Person,3.63,2000,4.59,20137,HUMN,0,LEC - Lecture
"Arts, Culture and Media",280,AH,2XXX,"{u'A': 0.29, u'C': 0.12, u'B': 0.59, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HUMN,"[{u'group': u'2 Other reg', u'name': u'BERNARDINI, GIULIA', u'title': u'INSTRUCTOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Lower,,,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 17}",P  - In Person,3.19,2100,,20137,HUMN,0,SEM - Seminar
Topics in Humanities,002,AH,3XXX,"{u'A': 0.72, u'C': 0, u'B': 0.22, u'WDRAW': 0, u'D': 0.06, u'F': 0, u'DF': 0.06, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.06}",1,HUMN,"[{u'group': u'1 TTT', u'name': u'RABAKA, REILAND DEVAUN', u'title': u'ASSOCIATE PROFESSOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.42'}",AS,Upper,1,5.5,"{u'ENROLL': 18, u'GRADE': 18, u'PASS': 0, u'INCOMP': 0, u'Ret': 13, u'NOCRED': 0, u'EOT': 18}",P  - In Person,3.58,3093,5.46,20137,HUMN,0,SEM - Seminar
Topics in Humanities,003,AH,3XXX,"{u'A': 0.23, u'C': 0.23, u'B': 0.38, u'WDRAW': 0.07, u'D': 0.08, u'F': 0.08, u'DF': 0.15, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.23}",1,HUMN,"[{u'group': u'2 Other reg', u'name': u'BERNARDINI, GIULIA', u'title': u'INSTRUCTOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.50'}",AS,Upper,1,5.18,"{u'ENROLL': 14, u'GRADE': 13, u'PASS': 0, u'INCOMP': 0, u'Ret': 11, u'NOCRED': 0, u'EOT': 13}",P  - In Person,2.57,3093,5.18,20137,HUMN,0,SEM - Seminar
Narrative,100,AH,3XXX,"{u'A': 0.58, u'C': 0.06, u'B': 0.26, u'WDRAW': 0, u'D': 0, u'F': 0.1, u'DF': 0.1, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.1}",1,HUMN,"[{u'group': u'3 Supp', u'name': u'WIESE, ANNJEANETTE MICHELLE', u'title': u'LECTURER'}]",3,0,Humanities,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.96'}",AS,Upper,1,5.93,"{u'ENROLL': 31, u'GRADE': 31, u'PASS': 0, u'INCOMP': 0, u'Ret': 29, u'NOCRED': 0, u'EOT': 31}",P  - In Person,3.17,3210,5.62,20137,HUMN,0,LEC - Lecture
Tragedy,100,AH,3XXX,"{u'A': 0.67, u'C': 0.04, u'B': 0.3, u'WDRAW': 0.04, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HUMN,"[{u'group': u'1 TTT', u'name': u'GORDON, PAUL', u'title': u'PROFESSOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.15'}",AS,Upper,1,5.17,"{u'ENROLL': 28, u'GRADE': 27, u'PASS': 0, u'INCOMP': 0, u'Ret': 24, u'NOCRED': 0, u'EOT': 27}",P  - In Person,3.52,3240,4.88,20137,HUMN,0,LEC - Lecture
The Postmodern,010,AH,3XXX,"{u'A': 0.34, u'C': 0.08, u'B': 0.56, u'WDRAW': 0.01, u'D': 0.02, u'F': 0.02, u'DF': 0.03, u'INCOMP': 0.01, u'GRADE': 0.99, u'C_MINUS_OR_BELOW': 0.05}",2,HUMN,"[{u'group': u'1 TTT', u'name': u'FERRIS, DAVID S', u'title': u'PROFESSOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.34'}",AS,Upper,1,5.41,"{u'ENROLL': 137, u'GRADE': 133, u'PASS': 0, u'INCOMP': 2, u'Ret': 105, u'NOCRED': 0, u'EOT': 135}",P  - In Person,3.13,3660,5.03,20137,HUMN,0,LEC - Lecture
"Philosophy, Art, and the Sublime",001,AH,4XXX,"{u'A': 0.71, u'C': 0.04, u'B': 0.21, u'WDRAW': 0.08, u'D': 0, u'F': 0.04, u'DF': 0.04, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.04}",1,HUMN,"[{u'group': u'1 TTT', u'name': u'GORDON, PAUL', u'title': u'PROFESSOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.50'}",AS,Upper,1,5.63,"{u'ENROLL': 26, u'GRADE': 24, u'PASS': 0, u'INCOMP': 0, u'Ret': 19, u'NOCRED': 0, u'EOT': 24}",P  - In Person,3.5,4155,5.37,20137,HUMN,0,LEC - Lecture
Literature and Social Violence.,880,AH,4XXX,"{u'A': 0.8, u'C': 0, u'B': 0.2, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,HUMN,"[{u'group': u'2 Other reg', u'name': u'COMSTOCK, CATHY', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Humanities,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.67'}",AS,Upper,1,5.71,"{u'ENROLL': 15, u'GRADE': 15, u'PASS': 0, u'INCOMP': 0, u'Ret': 14, u'NOCRED': 0, u'EOT': 15}",P  - In Person,3.78,4835,5.57,20137,HUMN,1,LEC - Lecture
Global Issues and International Affairs,100,SS,1XXX,"{u'A': 0.18, u'C': 0.25, u'B': 0.44, u'WDRAW': 0.02, u'D': 0.08, u'F': 0.05, u'DF': 0.13, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.19}",1,IAFS,"[{u'group': u'1 TTT', u'name': u'BEARCE, DAVID H.', u'title': u'PROFESSOR'}]",4,0,International Affairs,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.72'}",AS,Lower,1,5.46,"{u'ENROLL': 363, u'GRADE': 354, u'PASS': 0, u'INCOMP': 0, u'Ret': 194, u'NOCRED': 0, u'EOT': 354}",P  - In Person,2.58,1000,5.24,20137,IAFS,0,LEC - Lecture
Global Issues and International Affairs,130,SS,1XXX,"{u'A': 0.65, u'C': 0.06, u'B': 0.24, u'WDRAW': 0, u'D': 0, u'F': 0.06, u'DF': 0.06, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.12}",1,IAFS,"[{u'group': u'2 Other reg', u'name': u'CONZELMAN, CAROLINE S', u'title': u'INSTRUCTOR'}]",4,0,International Affairs,"{u'Hrs_Wk': u'', u'Raw': u''}",AS,Lower,,,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 17}",P  - In Person,3.39,1000,,20137,IAFS,0,LEC - Lecture
Special Topics in International Affairs,001,SS,3XXX,"{u'A': 0.58, u'C': 0.06, u'B': 0.3, u'WDRAW': 0.06, u'D': 0, u'F': 0.06, u'DF': 0.06, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.06}",1,IAFS,"[{u'group': u'3 Supp', u'name': u'OLSEN, GAY', u'title': u'LECTURER'}]",3,0,International Affairs,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.82'}",AS,Upper,1,5.17,"{u'ENROLL': 35, u'GRADE': 33, u'PASS': 0, u'INCOMP': 0, u'Ret': 29, u'NOCRED': 0, u'EOT': 33}",P  - In Person,3.23,3000,4.9,20137,IAFS,0,SEM - Seminar
Special Topics in International Affairs,002,SS,3XXX,"{u'A': 0.32, u'C': 0.15, u'B': 0.5, u'WDRAW': 0.03, u'D': 0.03, u'F': 0, u'DF': 0.03, u'INCOMP': 0.03, u'GRADE': 0.97, u'C_MINUS_OR_BELOW': 0.06}",1,IAFS,"[{u'group': u'3 Supp', u'name': u'SISSON, MELANIE WINOGRAD', u'title': u'LECTURER'}]",3,0,International Affairs,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.81'}",AS,Upper,1,5.75,"{u'ENROLL': 36, u'GRADE': 34, u'PASS': 0, u'INCOMP': 1, u'Ret': 32, u'NOCRED': 0, u'EOT': 35}",P  - In Person,3.06,3000,5.5,20137,IAFS,0,SEM - Seminar
Special Topics in International Affairs,003,SS,3XXX,"{u'A': 0.16, u'C': 0.22, u'B': 0.59, u'WDRAW': 0, u'D': 0.03, u'F': 0, u'DF': 0.03, u'INCOMP': 0.03, u'GRADE': 0.97, u'C_MINUS_OR_BELOW': 0.06}",1,IAFS,"[{u'group': u'3 Supp', u'name': u'YOUNG, GREGORY D', u'title': u'LECTURER'}]",3,0,International Affairs,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.00'}",AS,Upper,1,5.73,"{u'ENROLL': 33, u'GRADE': 32, u'PASS': 0, u'INCOMP': 1, u'Ret': 28, u'NOCRED': 0, u'EOT': 33}",P  - In Person,2.9,3000,5.38,20137,IAFS,0,SEM - Seminar
Special Topics in International Affairs,005,SS,3XXX,"{u'A': 0.48, u'C': 0, u'B': 0.52, u'WDRAW': 0.03, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IAFS,"[{u'group': u'2 Other reg', u'name': u'SCANLAN-LYONS, COLLEEN M.', u'title': u'INSTRUCTOR'}]",3,0,International Affairs,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.38'}",AS,Upper,1,5.63,"{u'ENROLL': 32, u'GRADE': 31, u'PASS': 0, u'INCOMP': 0, u'Ret': 27, u'NOCRED': 0, u'EOT': 31}",P  - In Person,3.49,3000,5.22,20137,IAFS,0,SEM - Seminar
The Post-Cold War World,001,SS,4XXX,"{u'A': 0.79, u'C': 0.03, u'B': 0.17, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IAFS,"[{u'group': u'3 Supp', u'name': u'DEROCHE, ANDREW JAMES', u'title': u'LECTURER'}]",3,0,International Affairs,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.22'}",AS,Upper,1,5.22,"{u'ENROLL': 29, u'GRADE': 29, u'PASS': 0, u'INCOMP': 0, u'Ret': 9, u'NOCRED': 0, u'EOT': 29}",P  - In Person,3.62,4500,4.89,20137,IAFS,0,SEM - Seminar
The Post-Cold War World,002,SS,4XXX,"{u'A': 0.12, u'C': 0.12, u'B': 0.77, u'WDRAW': 0.1, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IAFS,"[{u'group': u'3 Supp', u'name': u'YOUNG, GREGORY D', u'title': u'LECTURER'}]",3,0,International Affairs,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.72'}",AS,Upper,1,5.71,"{u'ENROLL': 29, u'GRADE': 26, u'PASS': 0, u'INCOMP': 0, u'Ret': 21, u'NOCRED': 0, u'EOT': 26}",P  - In Person,2.95,4500,5.33,20137,IAFS,0,SEM - Seminar
The Post-Cold War World,003,SS,4XXX,"{u'A': 0.63, u'C': 0, u'B': 0.37, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IAFS,"[{u'group': u'1 TTT', u'name': u'DEETZ, STANLEY A', u'title': u'PROFESSOR'}]",3,0,International Affairs,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.38'}",AS,Upper,1,5.32,"{u'ENROLL': 27, u'GRADE': 27, u'PASS': 0, u'INCOMP': 0, u'Ret': 22, u'NOCRED': 0, u'EOT': 27}",P  - In Person,3.61,4500,4.95,20137,IAFS,0,SEM - Seminar
The Post-Cold War World,004,SS,4XXX,"{u'A': 0.62, u'C': 0.08, u'B': 0.31, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IAFS,"[{u'group': u'1 TTT', u'name': u'ZHANG, SHUANG', u'title': u'ASST PROFESSOR'}]",3,0,International Affairs,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.00'}",AS,Upper,1,4,"{u'ENROLL': 13, u'GRADE': 13, u'PASS': 0, u'INCOMP': 0, u'Ret': 1, u'NOCRED': 0, u'EOT': 13}",P  - In Person,3.49,4500,4,20137,IAFS,0,SEM - Seminar
Internship in International Affairs,801,SS,4XXX,"{u'A': 0.69, u'C': 0, u'B': 0.31, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IAFS,"[{u'group': u'2 Other reg', u'name': u'WIDENER, MELINDA CAIN', u'title': u'INSTRUCTOR'}]",3,1,International Affairs,"{u'Hrs_Wk': u'13-15', u'Raw': u'5.00'}",AS,Upper,1,5.69,"{u'ENROLL': 13, u'GRADE': 13, u'PASS': 0, u'INCOMP': 0, u'Ret': 13, u'NOCRED': 0, u'EOT': 13}",P  - In Person,3.58,4930,5.54,20137,IAFS,0,INT - Internship
Introduction to Scientific Writing in Integrative Physiology,001,NS,1XXX,"{u'A': 0.5, u'C': 0, u'B': 0.5, u'WDRAW': 0.14, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,IPHY,"[{u'group': u'2 Other reg', u'name': u'BOYKO, MARIE ELIZABETH', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Integrative Physiology,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.80'}",AS,Lower,1,5.13,"{u'ENROLL': 14, u'GRADE': 12, u'PASS': 0, u'INCOMP': 0, u'Ret': 8, u'NOCRED': 0, u'EOT': 12}",P  - In Person,3.5,1950,4.88,20137,IPHY,0,LEC - Lecture
